No;Review
99;"Buku pertama Tere-Liye yang saya baca. Covernya menarik. Saya suka filosofi daun yang jatuh tidak pernah membenci angin, menurut saya memiliki makna mendalam untuk senantiasa ikhlas dalam hidup. Saya pikir buku ini bercerita tentang perjuangan hidup, awalnya.

Saya tidak merasakan kentalnya perjuangan hidup seorang gadis miskin, Tania yang bekerja sebagai pengamen jalanan untuk keluarganya. Tadinya saya berharap buku ini akan konflik keluarga miskin yang bertahan untuk hidup layak. Keluarga miskin yang ingin maju.Namun buku ini justru lebih menceritakan tentang bagaimana Tania, pada akhirnya jatuh cinta kepada malaikat penolongnya, Danar.

Dalam buku ini dijelaskan,betapa Tania merupakan perempuan yang dewasa bahkan pada usianya yang masih muda. Namun behaviour yang ditunjukkan Tania seringkali berlawanan. Tania masih sangat kekanak-kanakan, ditunjukkan dengan gaya bahasa orang pertama dari sudut pandang Tania. Bagi saya, kedewasaan ditunjukkan dengan keputusan keputusan yang dia ambil, bukan dari penjelasan dari si tokoh sendiri. Biar pembaca yang menilai.
Karakter Danar, sang pahlawan pun tidak seksatria sosok pahlawan. Mungkin karena pengaruh penggunaan sudut pandang pertama Tania tidak mampu menggambarkan karakter seorang Danar, sehingga pembaca tidak begitu mengenal Danar. Selalu Tania. Bagi usianya yang matang, Danar rapuh. Kecewa sebenarnya dengan karakter Danar ini, seandainya saja penulis mengizinkan kita untuk lebih mengenal Danar, bagaimana masa lalu membentuknya menjadi sedemikian rupa.

Saya justru kagum pada tokoh Ratna.

Gaya bahasa secara umum mengalir dengan baik. Penggambaran suasanya juga lumayan."
101;"Kemarin ceritanya lagi jalan ke gramedia buat nyariin American Gods buat dikasihin ke pacar. Eh, kok pas di rak best seller ada buku ini yang bertengger di samping ""Negeri Para Bedebah"" karangan Tere-Liye juga. Kebetulan itu buku yang dibawa cowok yang gue suka pas pertama kali ketemu (ya yang skg jadi cowok gue ini). Jadilah gue penasaran, apalagi judul bukunya juga cantik.

Daun yang Jatuh Tak Pernah Menbenci Angin..
Buku ini nyeritain soal Tania (namanya sama kaya gue) yang jatuh cinta sama om-om dengan selisih umur 14 tahun dari dia. Nah si om yang bernama Danar ini jadi 'malaikat' penolong buat Tania, Dede (adeknya Tania) dan Ibunya dari keterpurukan hidup setelah kematian ayahnya.

Kalau dari segi cerita sih bagus, cuma ada beberapa poin yang kurang ngena di gue. Konflik-konfliknya kurang terbangun dengan indah (tsaahhh!) apalagi di bagian ending-nya. Gue gak ngerti aja kenapa orang sedewasa Danar tiba-tiba berubah jadi jadi ABG labil yang gak bisa nentuin pilihannya sendiri malah kesannya jadi gak bertanggung jawab sama 'cewek artis' a.k.a Ratna yang akhirnya dinikahin sama Danar gara-gara dia sibuk galau-in Tania. 

Tapi dibalik hal-hal yang gak gue suka itu, gue enjoy ngebaca cerita ini, Tere berhasil bawa gue menghayati frase demi frase yang ada di buku ini. So, good job, Tere!

Daun yang Jatuh Tak Pernah Membenci Angin.. Daun itu bukannya marah karena angin membawanya pergi jauh dari ""rumah""-nya, tapi justru menerima dengan ikhlas kemanapun angin itu menerbangkannya."
102;"""Daun Yang Jatuh Tak Pernah Membenci Angin"".
Membaca judulnya cukup membuat saya ingin tau apa maksudnya. Disitulah cerdiknya Tere Liye supaya orang2 penasaran & ingin membaca buku ini, termasuk saya.

Ini buku ke empat Tere Liye yg saya baca, n menurut saya ceritanya cukup bagus. Jadi, saya memberi tiga bintang dari lima karena saya sudah dapat mengerti maksud dari judulnya di empat chapter awal, dan sebenarnya cerita di buku ini ""too good to be true."" Kenapa? Tidak banyak orang2 seperti tokoh2 dalam buku ini--Tania, Dede & Ibu mereka, Danar & Ratna--, kisah hidup mereka, karakter mereka; mungkin bisa dibilang langka. Mereka tampan, cantik, cerdas, dan baik hati. But, I realize that this is just a fiction story afterall. Meski sebenarnya saya berharap tokoh utamanya tidak cakap rupa, tapi sangat baik hati, n mereka saling menerima dengan segala kondisi apapun.

Setelah membaca buku ini, dengan segala ""kesempurnaan"" mereka n masa lalu yg cukup pedih, saya mempelajari keikhlasan dalam menjalani hidup. Itulah makna dari judul buku ini. Seperti dalam ungkapan ini juga, yang saya jadikan pedoman:
""...hidup harus menerima...penerimaan yang indah. Hidup harus mengerti...pengertian yang benar. 
Dan hidup harus memahami...pemahaman yang tulus..."". (page 196)

Cerita ini beralur maju-mundur, dimulai dimana Tania bertekad mengakhiri semua yang dia rasa. Lalu kemudian pembaca akan dibawa flashback ke masa lalunya. 
Menurut saya, buku ini cocok dibaca oleh para remaja agar mereka juga termotivasi u/ terus belajar tanpa mengenal lelah. Overall, this book is quite good."
103;"Daun Yang Jatuh Tak Pernah Membenci Angin. Judulnya sudah lumayan bikin orang tertarik untuk membaca isinya. Terlihat seperti novel yang penuh kata motivasi tapi ternyata hanya soal cinta. 

Tania, gadis kecil yang hidup sengsara bersama Ibu dan adiknya, secara kebetulan bertemu seorang pemuda yang menyelamatkan hidup mereka. Danar, si pemuda yang baru dua puluhan ini berbaik hati menyekolahkan Tania dan Dede, adiknya. Memberi bantuan modal Ibu Tania untuk usaha kue. Sampai disini aku mikir, Danar ini uangnya banyak juga ya? 

Yah lalu kisah bergulir tentang kehidupan Tania yang luar biasa meningkat. Dengan kepandaiannya dia mendapat sekolah di Singapura. Tahun berlalu begitu cepat, Tania memendam rasa pada Danar, malaikat penolong keluarganya. Tania kecil berubah menjadi seorang gadis yang cantik, pintar dan sukses.

Tapi cinta Tania seperti bertepuk sebelah tangan, karena Danar seakan hanya menunjukkan rasa sayangnya kepada seorang adik. Apalagi dengan Ratna, pacarnya di sisinya. Tania yang sudah diangkat Danar dari kehidupan masa kecilnya yang susah, memberontak tidak mau datang ke pernikahan Danar. Daripada rasa terima kasihnya, dia memikirkan perasaannya sendiri. Egois memang. 

Mendekati ending, akhirnya ketahuan Danar ternyata juga menyimpan rasa padanya. Tapi Danar memilih memendamnya begitu dalam, tak sepatah kata pun keluar. Seakan sudah gila. Sosok Danar yang seperti malaikat di awal novel yang penuh kebijaksanaan akhirnya mengabur. 

Meski begitu novel ini lumayan enak dibaca dan ringan karena aku bisa membacanya dengan cepat tanpa beban."
104;"Semua masalah hati solusinya adalah hati kita sendiri. Dari buku ini saya belajar banyak tentang bagaimana manjadikan rasa cinta sebagai motivasi meraih prestasi,bagaimana menghadapi pahitnya kenyataan yang tak sesuai harapan, serta bagaimana memperlakukan kenangan.
Sosok Danar merupakan sosok impian. Seharusnya setiap orang menjadikannya sebagai cita-cita, dalam artian seharusnya setiap orang bercita-cita agar sukses seperti dirinya, agar berhati malaikat seperti dia. Kepeduliannya merupakan barang langka di zaman ini. Semoga pembaca buku ini menjadi Danar bagi dunia mereka masing-masing.
Tania. Tekad Tania untuk belajar keras agar merasa layak mendampingi Danar sangat patut dipuji. Meskipun akhirnya cintanya (sengaja) tak dibalas, namun prestasi yang diraihnya dalam masa-masa mengejar cinta itu abadi. Seperti inilah seharusnya orang jatuh cinta. Bukan membuang-buang waktu dengan hal-hal tidak berguna apalagi berdosa.
Meskipun bukan peran utama, Dede berhasil menunjukkan bagaimana seoarang anak seharusnya berkembang. Mulai dari yang kekanak-kanakan sampai menjadi teman curhat Tania. Bagaimana cara Danar mendidik Dede dan Tania juga merupakan contoh yang baik bagi orang tua untuk mendidik anak-anaknya.
Kekurangan buku ini mungkin pada sosok Danar yang terlalu bersifat malaikat. Sehingga kurang realistis di masa kini. Namun jika dilihat dari kaca idealis, (sekali lagi) sosok Danar adalah sosok yang harus kita wujudkan di dalam kehidupan kita."
105;"Seperti biasa, (Darwis) Tere Liye kembali menggencarkan hati dan marasuk pikiran. Banyak yang mungkin berkata bahwa mencintai orang yang jauh lebih tua daripadamu merupakan hal yang mustahil terjadi, cinta yang banyak menganggap, berdasar pada pedofilia atau lainnya. Tapi bagi saya, cinta ini sangat mungkin terjadi dan bukan sesuatu yang mengada-ngada. 

Ya, sedihnya, sangat amat sedih (dan seperti biasa Tere Liye lakukan), diakhiri dengan cerita menggantung. Seandainya Tere Liye bersedia melanjutkan kisahnya tentang akhir kisah mereka, niscaya akan banyak peminatnya. Bahkan dari novel ini saja (yang menggantung) merasuk pikiran para pembaca dan seketika selesai membaca, semua mencari dimanakah pohon linden itu hidup. Saya tahu itu sebab ketika saya selesai membaca dan membahasnya dengan salah satu teman saya, saya langsung mencari keberadaan pohon linden itu via google dan ketika saya mencarinya semua halaman yang saya cari pasti terdapat keywords judul novel tere-liye ini. (yap, mereka semua penasaran juga seperti saya)

Ah iya, mengganti id nama kala itu yang 'melebih-lebihkan' masih menjadi suatu tren ya? 

Dan ini bagian yang menurut saya paling menarik:
""Bahwa hidup harus menerima...penerimaan yang indah. Bahwa hidup harus mengerti..pengertian yang benar. Bahwa hidup harus memahami.. pemahaman yang tulus. Tak peduli lewat apa penerimaan, pengertian, dan pemahaman itu datang. Tak masalah meski lewat kejadian yang sedih dan menyakitkan"" halaman 196."
107;"Ketika membacanya, saya hampir kehilangan fokus pada isi cerita. Saya justru lebih tertarik pada sampul buku ini, daun Linden. Saya sampai harus googling mencari tahu seperti apa Pohon Linden yang tergambar pada cerita tersebut. Bahasa ceritanya ringan dan hangat seperti halnya karya Tereliye yang lain, seakan saya menemukan jiwa Tereliye sendiri dalam novel ini. Well, sejauh yang saya baca, novel ini sad ending versi saya, meskipun para tokoh utama pada akhirnya menerima saja dengan ikhlas jalan kisah mereka. Saya sangat kecewa pada dua tokoh utama, pada Danar yang tak mau jujur atau berani pada perasaannya sendiri dan memilih untuk menguburnya dengan menikahi Ratna hingga membuat Tania, sang tokoh sentral memilih untuk menghindarinya dengan menyibukkan diri lebih dalam pada aktivitas akademiknya. Jalan cerita akan berbeda jika mereka saling mengakui sejak awal perasaan masing-masing. Karena sebenarnya cerita cinta ini seakan seperti terkesan vertikal, orang yang ditolong mencinta yang menolong, vice versa, namun tak ada yang berani mengungkapkan. Kebijaksanaan ibunda Tania yang mengingatkannya sejak awal mengenai keikhlasan, membuat Tania pada akhirnya tahu makna sebenarnya dari kisahnya sendiri. Bahwa kita tidak bisa menyalahkan siapapun atas apa yang menimpa kita, apa yang kita dapatkan, apa yang kita pilih, apa yang kita lalui, dan bagaimana kehidupan membawa kita, seperti kata judulnya seperti ""Daun yang Jatuh Tak Pernah Membenci Angin""."
108;"""Entah apa sebabnya, tiba-tiba aku ingin menikmati sepotong kenangan itu. Menikmati sejenak saat aku berhenti dan mengamati kehidupan orang lain. Kehidupan jalanan yang sudah senyap. Kehidupan kota yang beranjak tidur. Terpekur di atas jembatan penyebrangan itu. Menatap lampu lalu lintas yang terus bergantian menyala: merah, hijau, merah, dan seterusnya. Tidak lelah."" (hal 220, par 4)

Indah. Memukau.
Itulah kesan yang saya dapat dari membaca buku ini. Indah dalam kejujuran penuturannya, memukau dalam pilihan sudut pandangnya, dalam alur maju-mundur yang dijahit sempurna. .

Luar biasa.
Yang membuat saya terpana bukan jalur ceritanya (karena sebenarnya tidak memunculkan sesuatu yang 'wow'), tapi lebih kepada konteks novel ini. Sang penulis adalah laki-laki, tapi ia telah sempurna membuat saya manggut-manggut mengidentifikasi diri dengan tokoh utama perempuan. Saya bisa relate dengan semua kegundahan dan emosi si tokoh. Saya sampai berteriak kaget saat saya googling dan ternyata dia laki-laki! (Maklum, saya baru di dunia pernovelan Indonesia).

Nah, saya kita Tere Liye itu penulis jenius. Tidak ada kata lain yang bisa menjelaskannya. Jenius. Jadi jika kamu mencari buku untuk mempelajari gaya penulisan yang jenius (maju-mundur dengan apik), kamu bisa ambil buku ini.

Dan satu lagi, saya ganjar buku ini dengan rating 4. Bukan 5, karena beberapa dialog terkesan redundan, dan jika kamu skip kamu ngga akan kehilangan banyak.

@dinarkarani"
109;"Ini buku ketiga Tere Liye yang saya baca setelah The Gogons: James & the Incredible Incidents dan Bidadari-Bidadari Surga. 

Dan, gaya penyajian cerita yang sama, masih saya jumpai: sederhana, tidak rumit, tapi menyentuh. Ditambah dengan keproduktivannya. Tidak heran kalau pembaca buku-buku Tere Liye makin banyak dari hari ke hari. Hal ini saya pantau lewat facebook penulis.

'Daun yang Jatuh Tak Pernah Membenci Angin' ini bagi saya cukup menarik untuk dinikmati. Judulnya saja sudah puitis. Isinya? Meski dengan gaya kilas-balik dan sempat membuat saya bosan di awal hingga pertengahan cerita, namun semakin ke akhir saya semakin cepat membacanya. Apalagi yang ditawarkan Tere Liye kalau bukan rasa penasaran?

Awalnya, saya teringat pada film 'I Love You, Om' saat membaca novel ini. Kendati, pada akhirnya saya pun tersentak juga dengan keputusan tokoh Danar. 

Lapis-lapis konflik yang disiapkan Tere Liye mampu membuat saya bertahan membaca novel ini. 

Ada satu bagian yang saya baca beberapa kali dan mencoba untuk mencerna maksudnya.

... Begini, bagi pria, dan itu sama saja dengan kebanyakan wanita, menikah tidak selalu harus dengan seseorang yang kaucintai. Menikah adalah pilihan rasional. Berkeluarga untuk lelaki postmodern seperti dia tidak semata-mata urusan cinta-mencintai... (hlm. 213)"
110;"Kisah yang sangat menarik. Kita akan dibawa oleh Tere Liye untuk mengikuti tumbuhnya perasaan cinta seorang gadis bernama Tania selama belasan tahun tanpa terkatakan.

Sebenarnya novel ini memiliki setting waktu cerita yang amat singkat yaitu antara jam 20:00 sampai jam 09:00 hari berikutnya. Tapi karena Tere Liye menbuat alurnya mundur hingga belasan tahun kebelakang, maka novel ini akan memiliki kompleksitas ceritanya yang mengagumkan. Dengan alur yang maju mundur kita akan merasakan pertumbuhan perasaan itu begitu terempatikan.

Jika kita menilik lagi novel yang serupa dengan novel ini, mungkin kita akan bisa menyandingkan novel ini dengan ""Galaksi Kinanthi"" (karya Tasaro GK). Kesamaanya adalah sosok wanita sentralnya adalah orang yang telah bertransformasi dari anak ingusan menjadi wanita yang sangat pandai dan berpengaruh. Dari segi alur ceritapun sama-sama menceritakan tentang penantian yang cukup lama untuk bisa mengungkapkan cintanya. Sebagai tambahan mungkin bisa kita samakan juga dengan novel ""Perahu Kertas"" (karya Dee).

Tingkat progresi alurnya cukup kentara sehingga pembaca tidak merasa bosan membacanya. Endingnya tidak begitu mengejutkan akan tetapi meninggalkan gejolak perasaan yang luar biasa jika kita menghubungkannya kembali dengan judul novel ini: Daun Yang Jatuh Tak Pernah Membenci Angin. "
