No;Review
120;"""Saya harus akui Tere Liye memang bukan sembarang penulis. Kalimat-kalimat tokoh utama dalam novel ini sempat membuat saya menangis. Apalagi kalimat sang ibu saat meninggal dan kalimat adik Tania, Dede yang berkunjung ke pusara ibu saat 8 tahun kepergian sang ibu.


Saya juga cukup menikmati kritik-kritik tersembunyi sang penulis tentang kondisi sosial yang berlangsung, melalui sang tokoh utama Tania.


Deskripsinya juga cukup oke, tempat-tempat sederhana, seperti warung makan tenda pinggir jalan atau toko buku jadi menarik karena dikemas dengan bahasa yang apik.

Tapi sayang, saya agak menyayangkan endingnya. Karena penggambaran tokoh Danar di akhir cerita samar. Saya gak tahu persis bagaimana perasaan si Danar. Tapi mungkin itu disengaja sama sang penulis untuk membuat pembacanya merasa sebal di akhir cerita.

Sebal? Bukan karena akhirnya gak happy ending, tapi karena akhirnya agak sedikit membingungkan buat saya. Haha.

At least, buku ini tetap menarik untuk dibaca kok :)""
"
121;"""Buku ini mengisahkan tentang seorang gadis kecil yang tumbuh dewasa, tumbuh dengan berbagai perasaan yang bahkan kita sendiri tidak bisa menjelaskan dengan logis, tumbuh dengan banyak pemahaman. Sebuah kisah cinta yang bisa dibilang modern karena dalam beberapa hal kejadian kejadian, alur dan plot cerita itu banyak terjadi dalam kehidupan kita tapi juga aneh, ya entahlah kenapa saya sendiri menyebutnya aneh, mungkin karena ini urusan perasaan maka semua akan tampak ganjil. 

Seperti biasa dalam beberapa novel tere-liye selalu banyak pelajaran, pamahaman yang baik dalam setiap ceritanya, selalu menyinggung masalah kebaikan dan cinta :D

beberapa hal yang saya sayangkan lagi-lagi soal endingnya yang 'menggantung' tidak jelas bagaimana nasib selanjutnya tokoh tokoh dalam novel ini, atau sepertinya tere-liye memang ingin membuat kita menebak-nebak sendiri bagaimana endingnya.

but nice lah...saya benar benar menghargai setiap pesan kebaikan dan cinta didalamnya.. ""
"
122;"""Lima bintang yang saya sematkan ke novel ini punya beberapa alasan:
1. Novel ini berhasil bikin saya sering ngumpat dalam hati, """"SIALAN, PENULISNYA KOK HEBAT BANGET SIH NGERANGKAI KATA?""""
2. saya termasuk pembaca novel (DRAMA) yang lamban, anehnya novel ini bisa saya baca dalam sehari.
3. Saya tdk pernah penasaran dengan alur novel drama---sampai saya membaca novel ini.
4. Saya merasa agak baper karena mirip2 pengalaman pribadi #uhuk
5. This is Damn Good Novel . You must buy it and read it, dont waste your time to read the review!

ps: untuk kamu yg sudah terlanjur baca bbrapa kritikan ttg 'pedofil' dan ketidakkonsistenan karakter, just let them. they forget to see their own characters will change in just few seconds. we are human, place of imperfectness and inconsistency. and this is the most 'reliable romance' novel i've ever read--so far. *just throw it if you like kind of Cinderella's story. 
""
"
123;"""""""Orang yang memendam perasaan seringkali terjebak oleh hatinya sendiri. Sibuk merangkai semua kejadian di sekitarnya untuk membenarkan hatinya berharap. Sibuk menghubungkan banyak hal agar hatinya senang menimbun mimpi. Sehingga suatu ketika dia tidak tahu lagi mana simpul yang nyata dan mana simpul yang dusta.""""

Pertama kali liat buku ini dan baca sinopsisnya, udah yakin kalo buku ini bakalan bikin saya nangis. Setelah sekian lama nahan-nahan untuk beli buku ini, akhirnya kesampean juga baca karena dapet tugas dari sekolah. Dan saya nyesel kenapa baru sekarang saya baca buku ini. Buku ini bagus banget. Saya suka jalan ceritanya, perjuangan Tania, semua kebaikan Danar, sampe ending yg bikin saya geregetan. Berharap akhir yang bahagia tapi saya juga bukan pembaca yang benci dengan akhir yang menyedihkan.""
"
124;"""bercerita tentang kisah cinta seorang wanita terhadap """"kakak angkat""""nya yang telah menyelamatkan keluarganya dari kemiskinan & keterpurukan...Kisah cinta yang harus dihadapi dengan pilihan antara rasionalitas & perasaan hati.
Suka dengan endingnya, membuat pembaca bertanya2x & menebak sendiri akhir dari cerita ini.
Layak untuk dibaca, karna ada hikmah yg bisa dipetik dari segala kejadian dalam cerita ini. Kelemahan dari novel ini terkadang jalan cerita terasa bertele-tele....terkesan ingin membuat pembaca """"penasaran"""" dengan ending cerita. Dan kehidupan mereka terkesan terlalu """"perfect""""...Dari seorang pengamen jalanan kemudian mendapat beasiswa ke singapura & mendapatkan nilai yg selalu """"perfect"""" tanpa rintangan yg berarti. """"To good to be true"""".
Tapi bagaimanapun, buku ini layak untuk dibaca & difilmkan :)""
"
126;"Novel Tere Liye pertama yg saya baca dan langsung jatuh hati pada tulisannya. Ceritanya benar-benar menyentuh dan realistis. Tidak mengada-ngada dan tidak muluk-muluk. Dalam kehidupan, apa yang kita inginkan, tidak semua bisa kita miliki ataupun kita raih. Begitu juga dengan cinta, terkadang, cinta itu tak harus memiliki.
"
128;"""Daun yang jatuh tak pernah membenci angin adalah buku kedua yang saya baca dari tere liye. cinta memang terkadang berubah menjadi rumit hingga kita gak tau lagi mana simpul yang nyata dan mana yang bukan. buku ini membuat saya mengerti tentang sebuah penerimaan akan hidup, penerimaan akan takdirNya dan penerimaan akan cinta yang tidak memihak pada Tania maupun Danar.

""""Cinta tak harus memiliki. tak ada yang sempurna dalam kehidupan ini .."""" -Tere liye

saya rasa buku ini adalah bukunya danar dalam novel tere-liye """"cinta dari pohon linden"""" sebuah buku yang gak akan pernah selesai begitulah kata-kata bang tere dalam novelnya yang satu ini. Akhir cerita dalam novel ini pun seperti dibiarkan menggantung. membuat saya penasaran. rasanya ada yang belum usai,

over all. saya selalu suka dengan tulisan tulisan tere liye :) saya bisa mengerti banyak hal dari novel ini ""
"
129;"""Awalnya malas baca buku ini. Paling juga kaya novel2 pada umumnya. Tapi ternyata saya salah... Penulis buku ini mampu membuat saya penasaran dan membuat saya ingin membalik halaman berikutnya.
Penulis juga membawa tema yang tidak lazim. Satu banding satu juta di dunia ini, tapi sangat menarik.

Membuat saya belajar hal-hal baru..
1. Sebagai seorang perempuan, menikahlah dengan orang yang mencintaimu bukan dengan orang yang kau cintai (idealnya sih dia mencintaiku, aku mencintainya). Karena ketika kau menikah dengan seseorang yang kau cintai, kau akan bekerja 100x lebih keras untuk mendapatkan hatinya dibanding kau menikah dengan orang yang mencintaimu.
2. Kalau memang kamu menyukai seseorang, berjuanglah untuk perasaanmu itu. Jangan sampai menyesal karena kamu tidak pernah berbuat apa-apa.""
"
130;"""Pertama beli buku ini tuh karena judulnya.
Iya karena judulnya, bukan sinopsisnya XD
Dari judulnya aja udah menarik XD
Suka ama buku ini.
Suka ngelihat perubahan hidup Tania dan Dede yg dari pengamen sampai bisa sekolah dan sukses.
Jalan ceritanya mengagumkan.
Dan sedih karena sebenarnya Danar punya kesempatan dengan Tania, dia cuma gak ngebuat kesempatan itu aja karena pemikiran2 dia.
Dan lebih sedih lagi karena dia malah larut dlm kesediannya, padahal kan itu pilihan dia.
Ayolah, saya sebagai wanita kesal dgn sifatnya yg satu itu padahal dia sudah ngebuat keputusan besar juga dlm hidup Tania.
Tapi karena saya kesal dan dapetin emosinya makanya saya suka buku ini XD

Suka karakter Dede, lucu sih XD

Soal bisikan yg terakhir, pengarang gak kasih tau, biar pembaca aja kan ya yg nebak2 sendiri apa yg dibisikkin Danar ke Tania? XD
Ehehehe""
"
131;"Hanya membaca judulnya saja saya sudah menyukainya, begitu menarik perhatian. Saya sedikit kesulitan demi mendapatkan buku ini karena berkali-kali saya kehabisan stok. Tapi alhamdulillah setelah ujian nasional kelar tak tanggung-tanggung saya dan teman saya langsung ke gramedia untuk membelinya. Tere Liye selalu menghadirkan karya-karya novelnya yang menakjubkan. Dalam novelnya kali ini bang Tere menghadirkan bumbu-bumbu cinta yang tak biasa. Tania, gadis remaja yang menyukai atau lebihnya mencintai seseorang yang telah merubah nasib hidupnya. Tapi cinta tak akan sampai jika tak ada kata untuk menyampaikannya kan? itulah yang dialami Tania. Cinta yang tak tersampaikan.Dalam novel ini mengandung beberapa quote yang indah, kita bisa lebih banyak belajar tentang cinta dan kehidupan. Rasanya sayang jika kita melewatkan novel yang satu ini. 
"
