No;Review
139;"kalian harrruuusssss bacaaaa..... pembawaannya menarik dan mengalir. alur bolak balik gak kerasa. cerita yang belum pernah kutemukan. cinta dan pendidikan. nilai hidup dan kasih sayang. kisah hidup penuh likaliku usaha dan perjuangan. usaha memang selalu berbuah manis. apapun yang kita lakukan di hidup kita selalu memberi pelajaran, bagi diri sendiri maupun orang lain, disadari maupun tak disadari. kisah malaikat yang tak mau mengakui cintanya. malaikat yang memberi begitu banyak hal. dan yang terpenting adalah pembelajaran hidup. daun yang jatuh tak pernah membenci angin. malaikat yang memberi pengaruh begitu besar terhadap gadis kecil itu. kehidupan, masa depan, juga perasaan dan hatinya.
"
140;"""Sad, beautiful, tragic. 

Buku kedua Tere Liye yang Saya baca, berbeda dengan Delisa novel ini lebih mengarah ke romansa. 

Dan, Daun Yang Jatuh Tak Pernah Membenci Angin, benar just let it go biarkan kemana angin membawanya. Novel ini mengajarkan banyak hal, bagaimana cara mengakui, menerima, dan merelakan. Sungguh bukan perkara yang mudah. 

Pengolahan dan pilihan kata benar2 dibikin sedemikian apik oleh Penulisnya, nggak heran saya dibuat terhanyut, terbawa ombak, hingga tetiba saja Saya sudah menjumpai akhir halaman Novel. Hanya saja ada yang sedikit mengganggu benak Saya, apa yang dibisikkan Danar pada Tania malam itu dan oh maaf 2 hal - akhir ceritanya yang jauh dari harapan Saya. Sepertinya saya memang belum bisa memahami benar arti kata menerima. ""
"
142;"""Buku pertama yang membuat aku kenal sama sosok Tere Liye dan karya-karyanya yang lain. Setelah itu aku beru paham kalo fil Hafalan Surat Delisa itu juga salah satu karyanya Bang Tere yang difilmkan. Emang bener kata orang kalo karyanya Tere Liye itu diambil dari ide cerita yang sederhana. Hebatnya dia mampu bikin cerita yang sederhana itu jadi mewah dan menimbulkan kesan yang istimewa di hati para pembaca.

Ceritanya tentang Tania yang kehidupan sulitnya diubah oleh seseorang yang bagaikan malaikat. Bayangkan. Kapan bakal nemuin orang kaya 'dia' di dunia nyata ini? Orang itu tiba-tiba muncul dan mengubah kehidupan Tania menjadi lebih baik. Seperti seolah-olah Tuhan mengirimkan orang itu untuknya dan keluarganya.

Lagi-lagi, mendingan baca sendiri cerita selengkapnya. Recommended banget!!""
"
143;"""Ini adalah cerita dari rekaman perasaan dan pikiran Tania. Awal cerita itu pukul 20.00 di lantai dua toko buku terbesar di kotanya. Ia kembali membongkah luka dan bahagia dalam hidupnya. Cerita yang diiringi rinai hujan ini pula semakin membuat hanyut, menenggelamkan perasaan para pembacanya.

Judul yang penuh makna dan meninggalkan pesan bagi siapa saja yang membacanya. Bahkan bagi siapa saja yang sekedar tahu atau mendengarkan judulnya saja, tanpa perlu mereka membaca keseluruhan isi buku ini.

Pelajaran yang tak kalah penting dalam buku ini, bahwa dalam hidup itu sebenarnya simpel. Semua ada masanya, dan masa itu yang akan mengantarkan setiap nasib menuju kenyataan, entah baik maupun buruk. Entah nantinya nasib itu akan membuat kita suka maupun duka, berikut manis-pahitnya.""
"
144;"""'D' benar-benar malaikat yang menyelamatkan Tania dan adiknya dari dunia jalanan, dan Tania jatuh cinta pada malaikat keluarga mereka. ide ceritanya saya suka, walaupun watak Tania yang sedikit sombong.
Cerita ini benar2 mengejutkan, konfliknya bagus. Beda banget sama novel romance pada umumnya(tapi ga bisa dibilang romance, perjalanan hiduplah). Bikin saya greget bacanya. Kenapa sih emangnya kalau Tania suka sama oom2? Begitulah komentar saya terhadap temen2 yang agak risih dengan konflik di dalam novel ini. Cinta kan gak mandang usia. Justru itu """"bumbu manisnya"""" yang didapat dari buku ini. Tapi, ada tapinya...endingnya agak kurang. Saya penasaran apa yang dibisikkan 'D', pengakuankah atau apaaa... Overall saya tetap suka novel2 karya bang Tere""
"
146;"""Buku ini berkisah tentang metamorfosa seorang gadis kecil bernama Tiara dari anak jalanan menjadi seorang eksekutif muda yang sukses, dan juga cinta terpendamnya pada """"dia"""", sang malaikat penolong.
Meski ngga happy ending (hwa...spoiler), suprisingly I really like this book. Cerita yang mengalir khas Tere Liye membuat saya menghabiskannya dalam sekali duduk (sambil nyuapin anak, nemenin main hehe). Yang paling penting adalah pesan moralnya bahwa meski dalam hidup ini 1+1 tak selalu sama dengan 2, kita harus bisa menerimanya dengan tulus. Seperti daun yang jatuh tidak pernah membenci angin. Haha...bingung ya? Makanya baca sendiri:D""
"
147;"menurut saya cerita ini bagus bagus bagus banget. mungkin banyak yang merasa ceritanya berlebihan, dengan tokoh utama perempuan yang sangat arogan dan tokoh utama pria yang rasanya kayak kok-diem-diem-aja-sih. tapi, jika anda termasuk perempuan muda penyuka pria dewasa atau sebaliknya, cerita dalam novel ini akan sangat mudah didalami. ceritanya kena banget. saya rasa novel ini akan jauh lebih hebat kalau dibuat dalam versi si tokoh utama pria nya. karena bagi pria tentu tak pernah semudah: ""kalau cinta, maka bersatu saja!"" seperti kebanyakan perempuan berpikir demikian. yah pokoknya, novel ini.. keren lah! :)) 
"
149;"""Buku ini mengajarkan sesuatu, “Bahwa hidup harus menerima... penerimaan yang indah. Bahwa hidup harus mengerti... pengertian yang benar. Bahwa hidup harus memahami... pemahaman yang tulus. Tak peduli lewat apa penerimaan, pengertian, dan pemahaman itu datang.Tak masalah meski lewat kejadian yang sedih dan menyakitkan.
Dan aku yakin setiap orang memilikinya, memiliki jalan cerita masing-masing ketika berproses untuk menerima, mengerti, dan memahami apa yang terjadi di kehidupannya.

Daun Yang Jatuh Tak Pernah Membenci Angin... sama pula ketika aku membaca buku ini
Air Mata Pembaca Yang Jatuh Tak Pernah Membenci si Penulis... 
#senang sekali bisa dipertemukan dengan buku ini.^_^""
"
150;"Dimulai dengan alur yang datar dan cenderung lamban, kemudian menanjak tajam di sepertiga akhir buku ini. Pemilihan katanya oke. Banyak kalimat yang layak kutip. Karakter-karakter di dalamnya juga manusiawi. Tania cantik, pintar, tapi keras kepala, cenderung arogan. Danar baik kaya malaikat, tapi plin-plan, semua-semuanya dipendam sendiri. Tipikal yang bakal dibenci pembaca yang suka karakter sempurna. Endingnya begitu jujur dan realistis. Paling yang agak mengganggu adalah flashback di beberapa bagian yang ga ada pembatas yang jelas antara cerita sekarang dan masa lalu, jadi harus beberapa kali baca supaya ngerti.
"
153;"""Minggu kedua Januari saya dimulai dengan buku-buku romance yang bikin mewek (╥﹏╥)(╥﹏╥)(╥﹏╥)

Ini buku Tere Liye pertama yang saya baca. Bagus. Saya suka. Selain cerita romancenya, ada pelajaran tentang kemanusian dan kehidupan juga di sini.

Kalau saya yang jadi Tania, saya rasa saya juga akan jatuh cinta sama dia. Tapi sayang sekali. Seperti kata Anne, ini adalah tentang pilihan rasional. Ckckck. Dalam kasus Tania dan si dia ini, saya rasa cinta memang seharusnya dikatakan ya. Kalau tidak, rasa penyesalannya mungkin tidak akan bisa ditanggung. Hiks. Sudahlah. 3 dari 5 bintang. I liked it.""
"
