No;Review
163;"""ini adalah novel karya mba Tere Liye yang pertama aku baca..tadinya aku gak terlalu tertarik dengan novel ini karena setauku novelnya mba Tere itu ceritanya 'berat' semua. tapi akhirnya aku baca juga *dapet pinjeman dari manda hoho* eh dan ternyata.. aku suka sekali ceritanya, ceritanya sangat menyentuh..jujur aku sempet berkaca-kaca waktu membacanya. walaupun menurutku perbandingan umur antara Tania dan Danar terlampau jauh banget yah-_- tapi aku tetep suka ko! keren deh ceritany! tapi aku masih penasaran kira-kira Tania bakalan jadi sama Jhony Chan gak yah haha:p
P""
"
165;"""kalau lihat dari cover bukunya, kebanyakan teman2 saya tidak terlalu tertarik untuk membacanya. alhamdulillah, ketika melihat buku ini saya seperti ingin sekali menyelesaikannya. buku ini saya baca pertama kali saya kelas 2 smp atau kira2 tahun 2008 kalau tidak salah.
hingga saat ini, sepertinya sudah lebih dari 10 kali saya mengulang membaca buku ini. 
ceritanya sederhana, tidak muluk2. tapi, banyak sekali qoute2 yang benar2 mengena di hati pembacanya, seperti saya ini
benar2 buku yang sangat menginspirasi para kawula muda.""
"
166;"""Pertama baca buku ini, jujur aja kecewa bgt sama endingnya. Mungkin karena berharap happy ending.

Pertama baca buku ini, agak merasa aneh juga ngeliat anak yang suka sama om-om (maksudnya usia mereka kan beda jauh ya jadi jatohnya yg cowo itu om om kan..)

Tapi pas kedua kali baca, malah jd ketagihan.

Buku ini kaya ngejelasin kalo cinta itu buta. Kita bisa jatuh cinta sama siapa aja. Entah yang lebih tua bahkan udh kaya om om. Atau yg masih muda dan umurnya jauhbgt sama kita.

Dan, ya. Suka aja sama cara penulis deskripsiin ceritanya sampe akhir:)""
"
167;"""Ini buku tere-liye pertama yang saya baca. Dari judulnya sih saya udah terbayang cerita didalamnya. Tapi saya tetep penasaran dan memutuskan baca buku ini. 
Daaaaan saya suka sekali buku ini karena alur ceritanya yang ngebuat penasaran. tokoh Danar yang menarik, rendah hati, baik, care membuat saya jatuh cinta. Banyak hal yang saya pelajari dari buku ini antara lain menjadikan cinta sebagai motivasi untuk meningkatkan kualitas diri dan sebuah penerimaan atas takdir yang telah digariskan olehNya.""
"
168;"""*short review (ngga sempat buat full review dengan sinopsisnya)

Menurutku sebenarnya buku ini bagus sekali. Terlebih dengan judul yang sangat-sangat bagus (menurutku), dengan arti yang sangat mendukung. Ceritanya juga bisa dinikmati dengan baik. Aku sangat menikmati gaya cerita Tere-Liye, karena penulisannya puitis sekali. :):)
Sayangnya aku kecewa dengan ending-nya. Jadi, dari buku yang inginnya aku kasi rating 5, akhirnya aku kasi 4 aja. 
But overall, buku ini bagus dan ada pelajaran yang bisa diambil juga dari cerita ini. :):)""
"
170;"Bagus, saya suka. Tapi buku Om Tere favorit saya tetap masih Bidadari Bidadari Surga dan Kau, Aku dan Sepucuk Angpau Merah sama Berjuta Rasanya (yg lain lagi dalam proses mau dibaca & dikoleksi) Menuju ke Ending greget banget, tapi saya kesel banget tuh sama Danar jadinya -_- Saya suka deh sama Dede, tipikal adek yang asik ya kayaknya :D Ga banyak komentar sih, saya suka seperti biasa banyak pesan moralnya, bikin penasaran dan nagih, tp masih ada beberapa typo. Saya jd ngerti kenapa ada ""DAUN itu"" di kover sama di judulnya, hehehe :) Kali ini empat bintang! Suka banget!
"
171;"""Ugh saya benar2 terkesima atas novel ini. Mungkin atas gaya bahasanya yang relaxing dan benar - benar tertata rapi tanpa harus buru2 melompat ke cerita lain. Gara2 novel ini saya menjadi salah satu fans Tere Liye :D 

Ada banyak bagian2 novel ini yg dapat menitikkan air mata saya, membuat saya kagum, membuat saya menerima informasi baru, dan membuat saya menjadi sedikit banyak belajar tentang kehidupan itu sendiri. 10/10 untuk semua itu.

Tetap berkarya ya Oom, kami penyuka cerita anti mainstream akan selalu setia kok :B""
"
173;"""Duh, kudet banget ya aku, baru baca novelnya Tere Liye sekarang, padahal booming-nya dari jaman kapan. ._. Tapi lebih baik baca kan daripada nggak sama sekali? *ngeles*
Romance yang diusung emang bukan romance menye-menye, tapi romance realistis, mengangkat kisah cinta Tiara, anak jalanan, yang mencintai """"malaikat""""-nya sendiri. Konfliknya sederhana memang, tapi gaya bahasa dan cara mendeskripsikan sesuatu ala Bung Tere Liye emang juara.
Bakal kukasih 5 bintang kalau endingnya lebih nge-#jlebb. :))""
"
174;"""Tere liye bisa buat aku seperti menjadi Tania. Suatu alur yang unik, pembaca akan dibawa seperti menyelami waktu, mengenang masalalu kemudian akan kembali pada masa ini. Sepotong demi sepotong cerita diceritakan dengan apik seperti permainan Lego Dede. Memang menguras banyak emosi, walau cuma membaca, semuanya terasa nyata.
Salut sama kegeniusan bang Tere dalam menyusun novel ini.
Tapi maaf hanya sampai bintang 4, karena aku agak kurang sreg dengan pemilihan umur dan terlalu mudah nya pemeran utama dalam menjalani hidup. Tapi itu ngga mengurangi keindahan isi novel ini kok, serius""
"
175;"Waktu itu pinjem punya temen, karena aku selalu yakin kalo novel pengarangnya Tere Liye. Dan benar saja, aku benar-benar jatuh cinta sama novel ini. Meski awalnya, aku sangat jengkel sama Tania yang terkesan egois melihat kebahagiaan Danar dan Ratna. Tapi ... nyesek juga bacanya. Tania gak mau nyebut nama orang itu, padahal namanya udah jelas. Dari pertengahan sampai akhir, novel ini sukses membuatku nyesek tak berkesudahan, sekaligus jengkel tak berakhiran. Keren lah pokoknya, sangat inspiratif.
"
176;"novel yang sangat sederhana namun memberikan kesan yang dalam tentang kehidupan. satu pesan yang selalu aku ingat yaitu bahwa kita harus ikhlas dalam menjalankan kehidupan ini, ikhlas terhadap takdir yang telah digariskan Allah baik atau buruknya, semua akan ada hasilnya. tere liye juga selalu memberikan referensi tulisan-tulisan yang bagus. gaya bahasanya terdeskripsikan dengan baik sehingga memberikan efek kepada si pembaca, serasa kita yang berada di posisi Tania. Thanks bang Tere... ini novel paling favorit aku…
"
178;"awalnya agak keganggu sama alur maju mundurnya. tapi, pas dilanjutin baca. wow. ikut-ikutan emosi. awalnya sebel banget sama Tania, eh nggak taunya di ending, si oom Danarnya lebih jahat nggak mau ngaku. pokoknya ini buku keren deh. gue suka, sampe ngebekas di hati. hahaha. cuman kekurangannya yah, masih ada kata-kata yg typo, terus pas dede chat sama tania, kok jadinya dede malah bilang ""apakh kak ratna baik-baik saja?"" kan padahal nanyanya ke Tania.
"
179;"satu bintang untuk gaya penulisannya, satu bintang untuk motivasi dalam tulisannya, satu lagi untuk berhasil membuat saya menangis. ini novel pertama Tere Liye yang saya baca. Kesan pertama tidak buruk juga tidak baik. mungkin karena saya bukan tipe penyuka 'sad ending' maupun 'ending yang gantung'. karakter Danar dibuat entah mengapa serba sempurna di novel ini, yang anehnya tak membuat saya tertarik. malah karakter Dede yang menarik perhatian saya. simply, saya suka novel ini.
"
180;"""Sangat suka dengan Tere Liye. Aku sangat suka sekali dengan permainan alur yang dilakukan oleh penulis. Seru. Namun aku rasa cukup aneh jika seorang gadis kecil 13 tahun bisa mempunyai perasaan cinta kepada laki-laki berusia 20 tahunan.
Hmm... endingnya juga menyebalkan. hehe. Tapi overall, dijamin pantas untuk dikoleksi.""
"
181;"""Assalamu'alaikum,
ini pertama kali saya membaca sebuah novel, novel dari salah satu penulis favorit saya. dan berawal dari novel ini semakin membuka kerakusan keinginan untuk membaca. 
Novel ini sangat menarik, dengan alur cerita campuran menghubungkan masa lalu dengan masa depan tania dan berbagai macam romantika kehidupan dan perjuangan melawan hidup dari bawah hingga pada akhirnya bahagia, namun endingnya saya rasa seperti menggantung.""
"
