No;Review
1;"Pernahkah kamu merasakan jatuh cinta dengan orang yang lebih tua dari usiamu? pernahkah kamu jatuh cinta dengan orang yang menganggap dirimu hanyalah adik kecilnya yang manis? Yap, perasaan ini muncul pada diri seorang gadis cantik bernama Tania. sudah lama perasaan ini muncul, begitu membuncah dari lubuk hatinya yang terdalam. Mencintai Danar, laki-laki yang telah mengeluarkan ia dan adiknya dari dunia anak jalanan. Usia mereka terpaut jauh. Tania kecil mulai memendam perasaan cinta sejak rambutnya masih berkepang dua. Danar, seorang laki-laki yang sangat menyayangi anak kecil, itulah sebabnya ia dengan penuh kasih sayang membesarkan Tania dan adiknya, Dede, padahal tak ada hubungan darah diantara keduanya. pertemuan mereka pun terjadi secara tak sengaja, di jalanan pula. Tania tumbuh menjadi gadis yang pintar dan cantik. otaknya yang cerdas membuatnya menerima beasiswa untuk sekolah di Singapura. Namun, berlangsungnya waktu tak bisa membuat perasaannya terhadap Danar berubah. tetap seperti dulu saat pertama kali ia melihat Danar berkunjung ke rumah karsudnya, membawa sepatu dan menawarinya unruk kembali bersekolah. Tania sebetulnya tahu Danar akan menikah dengan kak Ratna, yang menurut Dede lebih cocok dipanggil tante Ratna. Apakah setelah pernikahan Danar dengan kak Ratna, perasaan Tania akan berubah? ternyata sebuah rahasia besar dibalik sikapDanar selama ini....

****
wuiiiih aku suka banget sama buku ini. Pokoknya yang belum baca ayo buruan baca :D recomended banget :DD"
2;"Awalnya sedikit ga yakin sama buku ini. Judulnya sih memang menjanjikan, tapi entahlah... Di balik judul yang menarik, tak sedikit cerita yang mengecewakan. Saya pun meskipun sudah lama tertarik dengan judulnya, baru membeli buku ini beberapa hari lalu. Itu pun karena menemukannya dalam harga diskon :p

Setelah tak tersibukkan banyak kegiatan, saya pun menyempatkan diri untuk kembali membaca. Buku ini jadi pilihan karena terlihat tipis dan bergaya cerita ringan. Rekomendasi teman yang sudah membacanya terlebih dahulu pun bagus. Maka saya pun membacanya.

Baru awal-awal membacanya saja, perasaan saya sudah teracak-acak dibuatnya. Membuat saya mulai membayangkan hal buruk yang bisa saya alami, meski belum saya alami. Membuat saya membayangkan bagaimana rasanya jatuh cinta pada orang yang tak dapat saya gapai. Membuat saya berpikir apa rasanya saling jatuh cinta namun dipisahkan jurang tak berdasar. Dengan ritme yang cukup cepat, buku ini pun dapat saya habiskan dalam waktu yang relatif cepat. Kekurangan buku ini hanyalah, banyaknya hal yang sulit dimengerti dan tetap tidak terjawab. Tapi yaaahhh... Di dunia nyata toh memang banyak hal yang seperti itu. Ganjil. Tak dapat dijelaskan, dan akhirnya tidak pernah diketahui sebabnya. Itulah hal yang saya suka dari buku ini: realistis. Tidak penuh mimpi-mimpi sebagaimana kebanyakan novel anak muda sekarang. Menampar diri dengan kenyataan bahwa hidup tak selamanya indah dan kisah cinta tak selalu berakhir happily-ever-after. Nice! :D"
3;"[Berhenti sejenak menatap sekitar. Itu selalu memberikan kita : INSPIRASI!]

Pernahkah merasa berjodoh dengan sebuah buku? Saat begitu ingin memilikinya dan ketika berada di toko buku menemukan buku itu tanpa keraguan sedikitpun langsung mengambil buku itu dan membawanya ke kasir. Setidaknya itulah yang sy rasakan pada buku ini, merasa sangat ingin memilikinya, padahal judul2 sebelumnya dengan penulis yang sama gagal merebut perhatian sy. Karena itulah ketika suatu siang menjelang sore sy menerima sebuah telepon dan suara di seberang mengatakan : Ti, aku lagi ada di Gramed nih. Mau buku apa? Seketika ada taman bunga yang bersemi di hati saya. siapa sih yang ga berbunga2 ditawarin buku? Hehe.. Maka buku pertama yang sy sebut adalah buku ini : Daun yang jatuh tak pernah membenci angin karya terbaru dari Tere Liye. Thanks ya ka buat 2 bukunya. Benar2 nyesal Cuma nyebutin 2 buku. Hihihi

Resensi Tentang Kamu : http://www.hairiyanti.com/2016/12/men...

""Membujuk hati berdamai dengan harapan..""

Tak perlu waktu lama buat menyelesaikan buku ini. Sy hanyut dalam ceritanya. Atau bisa dibilang terjerumus. Cara Tere Liye mengupas sebuah cerita sungguh menarik. Sy bahkan sempat berpikir, kok bisa ya penulis cowok sebegitu mengerti tentang sebuah rasa yang sy rasa hanya bisa dirasakan oleh wanita yang memang lebih perasa ketimbang cowok. Yah, novel ini tokoh utamanya adalah seorang wanita bernama Tania.

""Yakinlah, mengenang semua perasaan itu tidak sesulit yang dibayangkan""


Seorang wanita yang bersama adik dan ibunya pernah menjalani masa-masa sulit sepeninggal ayah mereka. Masa-masa harus meninggalkan sekolah, tinggal di rumah kardus, mengamen dan makan tak teratur. Sampai ada satu malaikat yang muncul di tengah kehidupan mereka. Seorang malaikat yang Tania bersumpah akan menuruti semua kata-katanya, keinginannya dan sumpahnya pada ibunya, Tania hanya akan menangis karena seseorang itu.

""Kebaikan itu memang tak selalu harus berbentuk sesuatu yang terlihat. Tak selalu dalam bentuk uang dan materi.""


Karena itulah saat sang ibu tiada, Tania menahan jutaan sesak di dadanya dan menahan agar air matanya tak tumpah. Semakin keras Tania berusaha, semakin sy larut dalam haru dan terisak sendiri. 

""Tuhan, semua takdirMu baik.. semua kehendakMu adalah yang terbaik..""


Hari terus berlalu dan tumbuhlah Tania dengan kecemerlangannya. Menjadi gadis yang cerdas dan cantik. Tapi di hatinya telah tumbuh sebuah perasaan yang tak bisa dia kendalikan. Sebuah rasa untuk seseorang yang telah menjadi malaikat penolong keluarganya. Tapi, Tania tak pernah bisa mengungkapkannya dalam kata-kata tentang perasaannya. Walau dalam tingkahnya rasa itu sangat jelas tergambar.

""Dalam urusan perasaan, di mana-mana orang jauh lebih pandai menulis dan bercerita dibandingkan saat praktik sendiri di lapangan.""

""Orang yang memendam perasaan sering kali terjebak oleh hatinya sendiri. Sibuk merangkai semua kejadian di sekitarnya untuk membenarkan hatinya berharap. Sibuk menghubungkan banyak hal agar hatinya senang menimbun mimpi. Sehingga suatu ketika dia tidak tahu lagi mana simpul yang nyata dan mana simpul yang dusta.""


Dan seseorang itu selalu menghindar ketika Tania mencoba meraba perasaannya. Sy sampai menyimpulkan seperti ini : ketika seorang pria selalu menghindar untuk membicarakan perasaannya maka waspadalah.. dia tak punya perasaan apa2 terhadap kita. Benar begitukah? Entah.

""Pria selalu punya ruang tersembunyi di hatinya. Tak ada yang tahu, bahkan percayakah kau, ruang sekecil itu jauh lebih absurd daripada seorang wanita terabsurd sekalipun.""


Puncaknya adalah ketika pria itu memutuskan menikah dan Tania kembali terjatuh dalam masa-masa sulit kehidupannya yang kali ini bukan karena kehidupan ekonomi mereka tapi karena PERASAAN.


""Otakku sedang benci, maka aku selalu berpikiran negatif sepanjang hari..""

""Kesibukan-kesibukan itu akan membuatku lelah berpikir. Dan jika aku sudah lelah berpikir, pelan-pelan semuanya akan berlalu. Kalau aku sedikit beruntung, mungkin bisa melupakannya.""

Terakhir, benar kata Ibu lewat komen beliau di MP. Sy suka endingnya bu.. duuuh.. ibu sama anak kompakan terus. Hehe.. intinya.. Jangan pernah menyerah. Hidup akan terus berjalan. Dan tidak semua perasaan harus diperjuangkan. (kesimpulan sendiri)

""Menikah tidak selalu harus dengan seseorang yang kita cintai. Menikah adalah pilihan rasional. Ketika sudah menjalaninya, masalah terbesarnya bukan cinta atau tidak cinta lagi. Masalahnya adalah KOMITMEN.""


*yang dalam tanda kutip diambil dari novel ini* ^^"
4;"Baca buku ini rasanya spt baca Lolita -Alexander Nabokov (bener gak sih spelling-nya?).
Saya gak keberatan kalau si Danar dianggap pedophil, krn sebenernya ada org2 antik spt itu, well..gak jauh-jauh, Bung Karno nikah sama Yurike Sanger jatuh cinta wkt SMA, Elvis Presley dan Priscilla, pembantu saya yg masih SMP pacaran sama bapak2 umur 30-an (dan suami org!!)

Euh...cinta gak pernah mengenal umur. 
Spt Lolita, yg terjemahannya keren abis, DYJTPMA (haduh singkatan aja panjang bener) juga bahasanya indah. Berhubung merantau di negeri org, saya jarang tau info buku2 Indo kebanyakan baca buku Inggris, dan taunya dari Goodreads. Dan saya terkejut, waaahh..pengarang Indo udah sedemikian tinggi levelnya.

Gayanya mengingatkan saya dg Lovely Bones, dan sama dg Lovely Bones, walau cerita ini indah, tidak ada yg bisa dipelajari dari sini. Cuma ttg emosi aja sih. Biasa saya kasih bintang ke-5 krn saya belajar ttg sesuatu yg baru dari buku itu, ttg realita yg saya gak tau, spt adat suatu negara, atau krn keberanian si penulis, ttg hal yg riil -lah, sementara di buku ini gak ada. So I save the 5th star for myself.

Kalau utk Lovely Bones yg bestseller itu saya kasih 3 bintang, utk DYJTPMA saya kasih 4. Krn ini penulis adalah laki2, tapi bisa dan berani mengambil sudut narasi dari tokoh utama perempuan, dan nyaris gak ada kejanggalan di situ. Saya cuma membayangkan..oh my ...dia pasti ngerti banget isi hati wanita, beruntung banget istrinya!! Saya bilang nyaris, krn ada satu yg mengganggu, wkt dia bilang, ""Aku tahu aku cantik, tubuhku proporsional"". Aduh...JEDERR...ketauan deh ini penulisnya laki2. Secantik apapun perempuan, selalu ada yg dia tidak suka dari tubuhnya, krn ingat! Perempuan itu pikirannya sulitt..gak jelas apa maunya. Dikasih rambut lurus pengen kriting, yg kriting pengen dibonding, yg pendek pake hak tinggi, yang tinggi badannya bungkuk krn tidak pengen terlihat mengintimidasi cowok. Even kalau kita baca interview dg artis2 Hollywood, mereka juga punya ketidakpuasan akan penampilan mereka, dagunya kepanjangan, toketnya kegedean dst ds
Jadi begitu kata 'tubuhku proporsional' keluar...ARRGGHHHHHH

Saya suka sama bagian belakang, si Danar yg plintat-plintut itu makin lama makin kehilangan sosoknya. Suaranya, dialognya, gak ada. Sampai terakhir apa yg dia bisikkan ke telinga Tania juga gak ditulis. Menggambarkan betapa makin lama sosoknya makin memudar. Kalau di bayangan saya si Danar yg perfect ini makin -lama jadi tembus pandang, hilang.

Dan saya gak setuju sama review2 lain yg marah2 kenapa si Danar kok unreliable, menikah, terus istrinya dibiarkan begitu aja krn gak cinta.
Kenapa saya bela Tere Liye? KARENA SAYA KENAL ORANG SEPERTI ITU.
Kebetulan org ini naksir dg teman baik saya, yg jauh umurnya di bawah, walau gak 12 thn sih..tapi ditolak krn temen saya gak suka, dan krn udah hampir 40, akhirnya dia dijodohkan, sama cewek yg cantik seiman dan profesinya baik. Diimpor dari Indo, sampai meninggalkan karir dan keluarganya....hanya utk ditelantarkan....gak diajak ngomong, dicuekkin...istrinya nangis2, curhat ke org2...akhirnya istrinya pulang Indo...dan cerai..

So, Si Danar itu as real as can be for me, juga cinta mereka yg begitu berbeda umurnya, biar dikata sekarang Pedofil, sebenernya Pedofil kalau udah mau berbuat tidak senonoh kan...kalau buku ini masih tahap platonis, jadi saya sih oke oke ajah"
5;"Daun yang jatuh tak pernah membenci angin Dia membiarkan dirinya jatuh begitu saja. Tak melawan. Mengikhlaskan semuanya
Ini buku Tere-Liye pertama yang saya baca. Dan terus terang sempat tidak percaya bahwa penulisnya adalah seorang laki-laki. Tulisannya begitu penuh perasaan, walaupun pilihan kata dan cara bertuturnya sangat sederhana. 

Ceritanya sendiri juga sederhana, tentang cinta yang terpendam dan betapa rasa yang tak terucap bisa mengubah jalan hidup seseorang untuk selama-lamanya. Namun saya suka cara Tere menyajikannya. Enak dibaca dan mengalir, sesekali bahkan sanggup membuat mata saya berkaca-kaca.

Mengikuti kisah Tania, gadis kecil yang jatuh cinta dengan putus asa alias hopelessly in love pada malaikat penolongnya, terngiang potongan lagu dari Endah n Rhesa

When you love someone 
Just be brave to say 
That you want him to be with you

When you hold your love
Dont ever let it go
Or you would lose your chance
To make your dream come true

Walaupun katanya cinta tak harus memiliki, tapi kalau ada kesempatan untuk bisa memiliki, kenapa tidak?"
7;"Jadi apa yang kamu lakukan saat mencintai seseorang sebegitu lama tapi tanpa pernah berani mengatakannya?

Apa yang akan terjadi kalau kata cinta terungkap juga?

Tania, yang begitu mencintai Danar (malaikatnya)mengalami dilema terbesar dalam hidupnya..beberapa hari sebelum Danar akan menikah. Dan beberapa hipotesapun terbentuk:

1. Dia tau aku mencintainya
tetapi dia tidak pernah mencintaiku..

Sayangnya,
hanya sayang kakak ke adik

2. Dia tau aku mencintainya
tetapi dia tidak pernah mencintaiku..

Dia mengerti betul tak ada seorang pun di dunia yang bisa menghapus perasaan itu.

Harus ada jarak yang jelas di antara kita.

3. Dia tau aku mencintainya
tetapi dia tidak pernah mencintaiku..

Dia berpikir aku membutuhkan waktu banyak untuk berpikir

4. Dia tau aku mencintainya
tetapi dia tidak pernah mencintaiku..
Dan dia membenciku!

Daun Yang Jatuh Tak Pernah Membenci Angin adalah novel Indonesia pertama yang Yaya baca lagi setelah bertahun-tahun gak baca novel Indonesia. Awalnya tergelitik dengan judulnya, dan sudah ketebak jalan ceritanya cukup mengaduk perasaan.

Dengan setting cerita ""flash back"",
penulis membawa pembacanya mengenal secara mendalam setiap karakter di buku ini.

Aaah, bahkan sayapun jatuh cinta sama Danar. Danar yang memang amat sempurna

Tabiatnya
Kebaikannya
Semuanya

Sayangnya, Danar yang defensive dengan perasaannya sendiri :(

Cerita yang sangat melankolis,
tapi...

aaah...
baca sendiri deh.

Siap-siap ketampar."
11;"Damn i love this author..

Satu lagi karya nya,dituturkan secara sederhana tapi selalu meninggalkan kesan mendalam setiap sampai di halaman terakhirnya. Sebuah cerita yang ringan tapi selalu membuat saya berfikir ulang dan mendalam (kalau tidak bisa disebut berat :p) tentang kehidupan dan bagaimana cara saya (mungkin kita) menjalaninya selama ini. 

Kali ini pelajaran yang (saya) dapat mengenai komunikasi. Bahwa benar komunikasi merupakan elemen vital dalam kehidupan manusia, bahwa Tuhan memberikan manusia sebuah organ berharga yang ditujukan untuk hal ini, untuk berkomunikasi. Karena apa yang hanya ada di hati dan kepala kita tidak akan terlalu berguna jika tidak disampaikan kepada mereka yang seharusnya tahu. Bahwa banyak hal yang bisa (atau pun tidak) terjadi ketika elemen vital ini terabaikan.

My most favorite lines in this book ada di halaman 196-197 :

""Daun yang jatuh tak pernah membenci angin"". Dede dulu tak mengerti apa maksudnya. Kalimat itu bahkan terasa menyebalkan. Dede bahkan mengibaskan tangan orang yang mengatakannya. Ibu..Dede hanya berfikir bahwa Ibu pergi karena tak sayang lagi pada Dede,. .... 
Dede ternyata keliru, Ibu pergi bukan karena tak sayang lagi pada Dede, Ibu pergi untuk mengajarkan sesuatu..
""Bahwa hidup harus menerima..penerimaan yang indah""
""Bahwa hidup harus mengerti..pengertian yang benar""
""Bahwa hidup harus memahami..pemahaman yang tulus""
Tak peduli lewat apa penerimaan, pengertian dan pemahaman itu datang. Tak masalah meski lewat kejadian yang sedih dan menyakitkan. 

""Ibu benar, tak ada yang perlu disesali. Tak ada yang perlu ditakuti. Biarkan dia jatuh sebagaimana mestinya. Biarkan angin merengkuhnya, membawanya pergi entah kemana. Dan kami akan mengerti, kami akan memahami...dan kami akan menerima."""
12;"""Orang yang sibuk memendam perasaan sering kali terjebak oleh hatinya sendiri. Sibuk merangkai semua kejadian di sekitarnya untuk membenarkan hatinya berharap. Sibuk menghubungkan banyak hal agar hatinya senang menimbun mimpi. Sehingga suatu ketika dia tidak tahu lagi mana simpul yang nyata dan mana simpul yang dusta.""

Itu adalah quote favorit saya di buku ini. Buku ini menceritakan tentang Tania, Dia, Dede, dan Kak Ratna. Tidak lebih. Paling sedikit tambahan tentang Ibu dan beberapa lainnya. 

Ini tentang lingkaran mereka. 
Awalnya merasa agak bosan membaca kisah Tania dari awal, dari anak kecil berkepang yang dekil hingga wanita cantik dan pintar. Kisah Tania yang memendam rasa pada Dia, dengan berjuta-juta rasa id-nya. Dan superego-nya yang berkali-kali mengambil penyelesaian. Sampai pada lembar-lembar terakhir ketika Penulis membeberkan potongan-potongan krusial itu. 

Perasaan Dia. 
Awalnya saya gegabah memikirkan kemungkinan yang ekstrem. Barangkali Dia ini suka dengan pria. Atau mungkin ibunya. Tapi rasanya jahat kalo sampe keinginan ekstrem saya itu dikabulkan.

Karena menurut saya, ending dengan Dia yang ternyata juga memiliki perasaan yang sama dengan Tania adalah ending terklise di dunia.

Tapi saya lupa judulnya, Daun yang Jatuh Tak Pernah Membenci Angin. Bagaimana mungkin saya tidak sadar dan mulai menghubungkan apa yang terjadi. 

Kalau banyak yang kecewa dengan ending-nya, yang begitu egois dan juga pengecut... maka mungkin review dari saya agak berbeda. 
Ending seperti itu merupakan ending yang sangat tepat untuk keseluruhan cerita ini. Bukan karena ingin mengikuti alur pembaca, tapi memang sudah keharusannya. 

Banyak orang yang di saat-saat terakhirnya, memilih melawan arus. Menggapai mimpinya, mewujudkan apa yang diinginkannya. 
Tapi banyak juga yang seperti Dia, diam, luruh, melebur dalam arus. Dan akhirnya terdampar terpontang-panting. Sendirian merasakan aliran arus. 

Karena mungkin Dia percaya dengan takdirNya. Jika memang angin akan membawanya mendekat, ia memilih mendekat. Atau menjauh. Atau malah diam. Ia menerima jawaban-jawaban yang diberikan kepadanya. Atau jawaban yang Dia rasa diberikan kepadanya. 

Apapun itu, angin membawanya jatuh. Gugur. Layu. 

Daun yang Jatuh Tak Pernah Membenci Angin. 

(Walau sebenarnya, saya lebih suka dengan melawan arus. Tapi tak apa, tak apa. Semua orang mempunya filosofi berbeda dalam menjalani hidup.)"
13;"Daun yang jatuh tak pernah membenci angin. Kata-kata itulah yang dikatakan danar (27 thn) kepada tania (13 thn) disaat tania kehilangan ibu tercinta untuk selama-lamanya. Daun yang jatuh, akan membiarkannya jatuh begitu saja, tak melawan. Mengikhlaskan semuanya. 

Pada awalnya hubungan tania dan danar hanya sebatas hubungan antara orang yg ditolong dengan malaikat penolong. Di mana danar menjadi malaikat penolong bagi tania dan keluarganya. Danar, pria sukses dengan latar belakang yatim piatu, membuatnya menjadi pribadi yang gemar berbuat kebaikan, termasuk kepada tania dan keluarganya.

Sejak saat itu tania berjanji akan melakukan apa saja yang dikatakan oleh danar. Dan tanpa ia sadari, benih-benih cinta tumbuh subur di dalam hatinya sejak ia pertama bertemu danar di usia sebelas tahun. Dan cinta itu tumbuh semakin besar seiring berjalannya waktu, bahkan hingga tania menginjak remaja dan paham betul dengan perasaan yang ia namakan cinta. Cinta yg berusaha ia pahami dan perjuangkan.

Lalu bagaimanakah dengan danar sendiri? Adakah jua rasa itu di hati danar?

Buku daun yang jatuh tak pernah membenci angin adalah salah satu karya dari tere liye. Dan seperti biasanya, saya selalu suka dengan cara menulis bang tere yang kadang membuat saya berfikir, koq bisa ya bang tere nulis nya sedemikian hingga, yang bikin saya makin kagum aja, hehe..
Pokoknya kalau masalah cara menuliskan cerita, bang tere ga ada duanya deh, hehe..
Untuk masalah ide cerita, masih mengusung tema yang paling banyak diburu, apalagi kalau bukan cinta? Tapi kali ini terasa beda aja dengan cerita yg pernah ada. Karena kali ini idenya tentang cinta dgn perbedaan umur yang lumayan jauh dan dengan kondisi yg lumayan complicated.

Over all, two thumbs up deh buat bang tere dan ni buku layak banget buat direferensikan buat yg belum baca. :)"
14;"Judul buku : Daun yang Jatuh Tak Pernah Membenci Angin
Pengarang : Tere Liye
Penerbit : Gramedia Pustaka
Tahun terbit : 2010
Tebal : 264 Halaman
ISBN : 978-979-22-5780-9
Harga : Rp 43.000,00
My rating : ?????


Dia bagai malaikat bagi keluarga kami. Merengkuh aku, adikku, dan ibu dari kehidupan jalanan yang miskin dan nestapa. Memberikan makan, tempat berteduh, sekolah, dan janji masa depan yang lebih baik.


Berawal dari pertemuan antara kakak beradikTania dan Dededengan seorang laki-laki berumur dua puluh tahunan yang menolong Tania saat kakinya tertusuk paku saat mengamen di dalam bus. Saat pertama kali bertemu dengan Danar, usia Tania sebelas tahun, Dede enam tahun, dan Danar dua puluh lima tahun.


Tania dan Dede tinggal di rumah kardus di bantaran sungaidi bawah pohon linden (pohon ini akan memiliki arti penting)bersama ibunya, sang ayah telah meninggal tiga tahun sebelumnya karena TBC. Setelah pertemuan pertama mereka dengan Danar (tapi karena umur Danar yang terpaut jauh mereka memanggil Danar dengan Oom), Oom Danar kembali menemui mereka di bus dengan membawa dua pasang sepetu untuk mereka, tak hanya itu, Oom Danar juga sering mengunjungi rumah kardus mereka, membawakan makanan, mengajak bertamasya, serta sering mengajak mereka berbelanja peralatan sekolah dan buku di toko buku berlantai dua yang merupakan toko buku terbesar di kota (tempat ini juga akan memiliki arti penting). Dan setelah itu Oom Danar memindahkan keluarga Tania ke kontrakan yang lebih layak.

Sejak pertama kali bertemu Oom Danar, Tania telah mengidolakannya, perasaan yang seharusnya tidak dimiliki seorang gadis kecil berkepang dua kepada pria yang empat belas tahun lebih tua darinya. Tania selalu berjanji pada dirinya sendiri untuk menuruti segala kata-kata Oom Danar dan dia sangat benci apabila ada wanita yang dekat dengan Oom Danar termasuk Kak RatnaPacar Oom Danar. Tapi saat itu Tania masih terlalu kecil untuk mengerti perasaannya sendiri.


Kita ngga pernah tahu apa yang akan terjadi esok lusa.



Saat usia Tania tiga belas tahun, Dede delapan Tahun, dan Oom Danar dua puluh tujuh tahun, Ibu Tania meninggal dunia. Tania melanjutkan sekolah menengah pertamanya di Singapuraitupun keputusan Oom Danar yang dapat melihat kepandaian Tania dan Tania jelas tak bisa menolak perintahnyasedangkan Dede tinggal bersama Oom Danar.


Orang yang memendam perasaan seringkali terjebak oleh hatinya sendiri, sibuk merangkai semua kejadian di sekitarnya untuk membenarkan hatinya berharap. Sibuk menghubungkan banyak hal agar hatinya senang menimbun mimpi. Sehingga suatu ketika dia tidak tahu lagi mana simpul yang nyata mana simpul yang dusta.



Seiring berjalannya waktu Tania tumbuh menjadi gadis cantik dan dewasa, perasaannya kepada Oom Danar semakin menjadi-jadi (saat itu dia mulai memanggil Oom Danar dengan sebutan Kak), sejalan dengan dimulainya teka-teki kehidupan yang begitu rumit karena potongan-potangannya yang masih berserakan dan sulit disatukan. Perasaan Tania hancur berantakan saat Kak Danar memutuskan menikah dengan Kak Ratna. Namun setelah menikah dengan Kak Ratna, Kak Danar berubah menjadi pemurung. Hingga potongan teka-teki itu semakin jelas dengan terkuaknya apa yang selama ini Kak Danar rahasiakan. Perasaannya kepada anak gadis berumur dua belas tahun yang masih berkepang dua. Dan setelah semua potongan teka-teki terpasang dengan jelas, apa yang akan terjadi dengan hubungan Kak Danar dan Tania serta nasib pernikahan kak Danar dengan Kak Ratna?

Aku tak pernah menginginkan perasaan ini kan? Dia datang begitu saja. Menelusuk hatiku. Tumbuh pelan-pelan seperti kecambah disiram hujan. Aku sungguh tidak menginginkan semua perasaan ini.


Daun yang jatuh tak pernah membenci angin. Dia membiarkan dirinya jatuh begitu saja. Tak melawan. Mengikhlaskan semuanya.


Baca selengkapanya di Daun yang Jatuh Tak Pernah Membenci Angin

€?€?€?€?€?€?€?€?€?€?

Tania
Tania adalah tokoh utama novel ini. Gadis pengamen kecil berkepang dua yang menjelma menjadi gadis nan cantik dan mempesona. Gadis yang mencintai malaikat penyelamat hidupnya. Karakter Tania yang pantang menyerah, gigih, dan memiliki semangat meluap-luap membuatnya menjadi gadis yang disenangi teman-temannya

Danar
Tokoh utama sebagai orang yang mrubah nasib keluarga Tania, malaikat keluarga Tania. Hal itu dia lakukan karena rasa rindunya terhadap keluarga yang tak pernah dia miliki. Karakternya yang penyayang, ulet, dan dermawan membuat tokoh ini sangat menawan hati.

Dede
Dede adalah adik kandung Tania. Dede adalah pelaku yang sangat membantu terpecahkannya teka-teki kehidupan itu.

Ratna (duh namaku :D)
Ratna adalah pacar yang kemudian menjadi istri Danar, walaupun pada awalnya kehadiran tokoh ini tidak disukai Tania dan Dede, tapi sifat sabar dan penyayangnya membuat keduanya luluh.

€?€?€?€?€?€?€?€?€?€?



Wow! Seriusan deh, ini novel keren banget! Aku emang ga begitu tertarik sama covernya yang biasa-biasa aja, tapi setelah kubaca, duhh nangis mulu bawaannya. Tere Liye begitu pintar merangkai cerita dengan alur flashback. Rangkaian cerita dari awal sampai akhir begitu mudah aku pahami dan aku sangat menikmatinya. Ditambah quotes-quotes yang berbobot banyak sekali berserakan di novel ini. So I give ????? / 5 for this novel. Perfect! :D"
