No;Review
130;"""""""Pertama beli buku ini tuh karena judulnya.
Iya karena judulnya, bukan sinopsisnya XD
Dari judulnya aja udah menarik XD
Suka ama buku ini.
Suka ngelihat perubahan hidup Tania dan Dede yg dari pengamen sampai bisa sekolah dan sukses.
Jalan ceritanya mengagumkan.
Dan sedih karena sebenarnya Danar punya kesempatan dengan Tania, dia cuma gak ngebuat kesempatan itu aja karena pemikiran2 dia.
Dan lebih sedih lagi karena dia malah larut dlm kesediannya, padahal kan itu pilihan dia.
Ayolah, saya sebagai wanita kesal dgn sifatnya yg satu itu padahal dia sudah ngebuat keputusan besar juga dlm hidup Tania.
Tapi karena saya kesal dan dapetin emosinya makanya saya suka buku ini XD

Suka karakter Dede, lucu sih XD

Soal bisikan yg terakhir, pengarang gak kasih tau, biar pembaca aja kan ya yg nebak2 sendiri apa yg dibisikkin Danar ke Tania? XD
Ehehehe""""
"""
131;"""Hanya membaca judulnya saja saya sudah menyukainya, begitu menarik perhatian. Saya sedikit kesulitan demi mendapatkan buku ini karena berkali-kali saya kehabisan stok. Tapi alhamdulillah setelah ujian nasional kelar tak tanggung-tanggung saya dan teman saya langsung ke gramedia untuk membelinya. Tere Liye selalu menghadirkan karya-karya novelnya yang menakjubkan. Dalam novelnya kali ini bang Tere menghadirkan bumbu-bumbu cinta yang tak biasa. Tania, gadis remaja yang menyukai atau lebihnya mencintai seseorang yang telah merubah nasib hidupnya. Tapi cinta tak akan sampai jika tak ada kata untuk menyampaikannya kan? itulah yang dialami Tania. Cinta yang tak tersampaikan.Dalam novel ini mengandung beberapa quote yang indah, kita bisa lebih banyak belajar tentang cinta dan kehidupan. Rasanya sayang jika kita melewatkan novel yang satu ini. 
"""
133;"""""""Awalnya rada 'ngeh' pas nemu buku ini di perpus, soalnya aku nggak terlalu suka novel-novel kek gitu, plus aku blum pernah baca novelnya Tere Liye. Emang sih, temanya tentang cinta perbedaan usia, di satu sisi kek ringan gitu temanya, tapi juga bikin aku tertarik buat baca.
Dan alhasil, aku jatuh suka sama buku ini *meskipun aku nggak berekspektasi apa-apa*, rasanya realistis aja nemu feel-nya buku ini, terutama di saat jaman sekarang novel terkenal kebanyakan teenlit yg tokoh-tokohnya kaya plus bisa pulang-pergi ke luar negeri seolah duit tinggal keruk, sementara Daun yang Jatuh sama sekali nggak melebih-lebihkan aspek itu.
Kalau kekurangannya menurutku mungkin cuma satu, akhirnya rada menggantung *sad ending juga*, masa Tania mutusin nggak mau kembali, terus gimana nasib Danar sama Ratna? Kok kayaknya gimana gitu, kan kasian si Dede-nya *nggak nyambung* hahaha.""""
"""
134;"""""""Buku tere liye yang pertama di baca (dah lama sih bacanya)....setelah itu ketagihan dengan novel-novel tere liye lainnya......novel yang bercerita tentang kehidupan sebuah keluarga yang kurang beruntung, dan dipertemukan nya mereka dengan seorang """"""""malaikat"""""""" yang akhirnya mengangkat derajat kehidupan mereka,namun di tengah situasi tersebut, timbullah benih-benih cinta antara Tania dan Danar, walaupun usia mereka terpaut 14 thn dan Danar pun sudah mempunyai tunangan...

ketika cinta harus memilih...haruskah hati ini memilih orang yang benar2 di cintai atau hati ini tetap bersanding dengan orang yang hanya ada rasa suka.

""""""""Ada orang yang saling mencintai tetapi mereka tidak sampai ke jenjang pernikahan, dan ada juga orang yang menikah tetapi mereka kurang saling mencintai""""""""""""
"""
136;"""""""Sebuah buku agar kita belajar mengerti, menerima, dan memahami atas perasaan kita. Dari semua buku Tere Liye, buku inilah yang paling saya sukai. Buku yang bercerita agar kita dapat mengerti perasaan sendiri maupun orang lain, menerima takdir hidup meski bukan berarti pasrah, dan memahami apa yang digariskan Tuhan untuk kita.

Buku ini mengisahkan tentang percintaan yang sederhana namun sangat mengena. Perbedaan umur belasan tahun yang menahan keduanya untuk saling jujur hingga tak berakhir menyatunya sepasang adam dan hawa. Saya pikir kisah percintaan di sini bukanlah kisah yang banyak diceritakan pada novel teenlit. Sekali lagi, sangat sederhana namun makna bagi kehidupan sangat mengena.""""
"""
137;"""""""Baca buku ini sebenarnya tanpa kesengajaan, selama ini aku ga pernah baca buku tere-liye kec yg hafalan solat delisa (nangiiis). Gara2 gada novel lagi, aku baca buku ini dan... gilaaa rame bgt. sedih. pikiran aku tuh kya terhipnotis sama buku itu, seakan aku pemeran utama cewenya (lupa namanya). Efek baca buku ini terus berlanjut, setiap aku pergi ke Gramedia aku pasti nyari kaca dan ngelamun, ngebayangin apaa aja. 

Yang bikin kesel tuh,,cerita ini ga bisa dirubah. ga ngasih kesempatan mereka nyatu. si cowoknya udah keburu nikah. jadinya tuh bikin sesek yang... gtuu deh,,selese bacanya jadi uring-uringan. 

Tapi ini buku keren bangeeeet,, buku kedua tere liye yang aku baca. dan dua-duanya bikin mata aku BENGKAK""""
"""
139;"kalian harrruuusssss bacaaaa..... pembawaannya menarik dan mengalir. alur bolak balik gak kerasa. cerita yang belum pernah kutemukan. cinta dan pendidikan. nilai hidup dan kasih sayang. kisah hidup penuh likaliku usaha dan perjuangan. usaha memang selalu berbuah manis. apapun yang kita lakukan di hidup kita selalu memberi pelajaran, bagi diri sendiri maupun orang lain, disadari maupun tak disadari. kisah malaikat yang tak mau mengakui cintanya. malaikat yang memberi begitu banyak hal. dan yang terpenting adalah pembelajaran hidup. daun yang jatuh tak pernah membenci angin. malaikat yang memberi pengaruh begitu besar terhadap gadis kecil itu. kehidupan, masa depan, juga perasaan dan hatinya.
"
140;"""Sad, beautiful, tragic. 

Buku kedua Tere Liye yang Saya baca, berbeda dengan Delisa novel ini lebih mengarah ke romansa. 

Dan, Daun Yang Jatuh Tak Pernah Membenci Angin, benar just let it go biarkan kemana angin membawanya. Novel ini mengajarkan banyak hal, bagaimana cara mengakui, menerima, dan merelakan. Sungguh bukan perkara yang mudah. 

Pengolahan dan pilihan kata benar2 dibikin sedemikian apik oleh Penulisnya, nggak heran saya dibuat terhanyut, terbawa ombak, hingga tetiba saja Saya sudah menjumpai akhir halaman Novel. Hanya saja ada yang sedikit mengganggu benak Saya, apa yang dibisikkan Danar pada Tania malam itu dan oh maaf 2 hal - akhir ceritanya yang jauh dari harapan Saya. Sepertinya saya memang belum bisa memahami benar arti kata menerima. ""
"
142;"""Buku pertama yang membuat aku kenal sama sosok Tere Liye dan karya-karyanya yang lain. Setelah itu aku beru paham kalo fil Hafalan Surat Delisa itu juga salah satu karyanya Bang Tere yang difilmkan. Emang bener kata orang kalo karyanya Tere Liye itu diambil dari ide cerita yang sederhana. Hebatnya dia mampu bikin cerita yang sederhana itu jadi mewah dan menimbulkan kesan yang istimewa di hati para pembaca.

Ceritanya tentang Tania yang kehidupan sulitnya diubah oleh seseorang yang bagaikan malaikat. Bayangkan. Kapan bakal nemuin orang kaya 'dia' di dunia nyata ini? Orang itu tiba-tiba muncul dan mengubah kehidupan Tania menjadi lebih baik. Seperti seolah-olah Tuhan mengirimkan orang itu untuknya dan keluarganya.

Lagi-lagi, mendingan baca sendiri cerita selengkapnya. Recommended banget!!""
"
143;"""Ini adalah cerita dari rekaman perasaan dan pikiran Tania. Awal cerita itu pukul 20.00 di lantai dua toko buku terbesar di kotanya. Ia kembali membongkah luka dan bahagia dalam hidupnya. Cerita yang diiringi rinai hujan ini pula semakin membuat hanyut, menenggelamkan perasaan para pembacanya.

Judul yang penuh makna dan meninggalkan pesan bagi siapa saja yang membacanya. Bahkan bagi siapa saja yang sekedar tahu atau mendengarkan judulnya saja, tanpa perlu mereka membaca keseluruhan isi buku ini.

Pelajaran yang tak kalah penting dalam buku ini, bahwa dalam hidup itu sebenarnya simpel. Semua ada masanya, dan masa itu yang akan mengantarkan setiap nasib menuju kenyataan, entah baik maupun buruk. Entah nantinya nasib itu akan membuat kita suka maupun duka, berikut manis-pahitnya.""
"
